Evento,Detalhes,Tempo
Caminho do mouse,"(517, 407)",5.933431386947632
Caminho do mouse,"(519, 405)",5.940439224243164
Caminho do mouse,"(520, 404)",5.949657917022705
Caminho do mouse,"(520, 403)",5.954936981201172
Caminho do mouse,"(521, 402)",5.9622111320495605
Caminho do mouse,"(522, 402)",5.983640193939209
Caminho do mouse,"(523, 402)",6.012347221374512
Caminho do mouse,"(524, 402)",6.034294605255127
Caminho do mouse,"(524, 404)",6.103423118591309
Caminho do mouse,"(525, 406)",6.109179973602295
Caminho do mouse,"(525, 409)",6.116452217102051
Caminho do mouse,"(525, 412)",6.1239423751831055
Caminho do mouse,"(525, 413)",6.131001710891724
Caminho do mouse,"(524, 415)",6.139243841171265
Caminho do mouse,"(524, 416)",6.145872354507446
Caminho do mouse,"(523, 417)",6.151413679122925
Caminho do mouse,"(523, 418)",6.158732891082764
Caminho do mouse,"(522, 419)",6.165554523468018
Caminho do mouse,"(522, 420)",6.172545433044434
Caminho do mouse,"(522, 421)",6.181420564651489
Caminho do mouse,"(521, 421)",6.201658487319946
Caminho do mouse,"(520, 421)",6.207614183425903
Caminho do mouse,"(519, 421)",6.214499473571777
Caminho do mouse,"(518, 421)",6.256084680557251
Caminho do mouse,"(518, 420)",6.3625617027282715
Caminho do mouse,"(518, 419)",6.368168354034424
Caminho do mouse,"(518, 418)",6.38252854347229
Caminho do mouse,"(518, 417)",6.410834312438965
Caminho do mouse,"(518, 416)",6.417760372161865
Caminho do mouse,"(518, 415)",6.4233763217926025
Caminho do mouse,"(518, 414)",6.439526796340942
Caminho do mouse,"(518, 413)",6.476153373718262
Caminho do mouse,"(518, 418)",6.687842130661011
Caminho do mouse,"(517, 426)",6.693215847015381
Caminho do mouse,"(516, 435)",6.701344013214111
Caminho do mouse,"(514, 443)",6.711658716201782
Caminho do mouse,"(513, 450)",6.715601444244385
Caminho do mouse,"(512, 453)",6.724117279052734
Caminho do mouse,"(511, 461)",6.729313850402832
Caminho do mouse,"(510, 468)",6.7367613315582275
Caminho do mouse,"(509, 476)",6.746412038803101
Caminho do mouse,"(508, 483)",6.750939607620239
Caminho do mouse,"(507, 487)",6.759059906005859
Caminho do mouse,"(506, 492)",6.766245365142822
Caminho do mouse,"(506, 494)",6.774691820144653
Caminho do mouse,"(505, 498)",6.78174901008606
Caminho do mouse,"(505, 502)",6.787601470947266
Caminho do mouse,"(504, 510)",6.79479718208313
Caminho do mouse,"(504, 516)",6.802371978759766
Caminho do mouse,"(502, 524)",6.809873580932617
Caminho do mouse,"(500, 533)",6.816528797149658
Caminho do mouse,"(499, 538)",6.827180624008179
Caminho do mouse,"(499, 541)",6.828996181488037
Caminho do mouse,"(497, 555)",6.839305400848389
Caminho do mouse,"(497, 557)",6.846190929412842
Caminho do mouse,"(497, 565)",6.854050874710083
Caminho do mouse,"(496, 568)",6.8615827560424805
Caminho do mouse,"(495, 574)",6.868537187576294
Caminho do mouse,"(495, 576)",6.87571120262146
Caminho do mouse,"(495, 577)",6.881297826766968
Caminho do mouse,"(495, 580)",6.890374660491943
Caminho do mouse,"(495, 582)",6.895530700683594
Caminho do mouse,"(495, 584)",6.9048826694488525
Caminho do mouse,"(495, 586)",6.9101293087005615
Caminho do mouse,"(495, 588)",6.919800519943237
Caminho do mouse,"(495, 589)",6.92354679107666
Caminho do mouse,"(495, 590)",6.938086032867432
Caminho do mouse,"(495, 591)",6.945210218429565
Caminho do mouse,"(496, 591)",6.99408745765686
Caminho do mouse,"(497, 591)",7.00098729133606
Caminho do mouse,"(498, 591)",7.008498907089233
Caminho do mouse,"(499, 591)",7.028707981109619
Caminho do mouse,"(499, 590)",7.044000148773193
Caminho do mouse,"(503, 578)",7.0652174949646
Caminho do mouse,"(505, 570)",7.081080675125122
Caminho do mouse,"(507, 563)",7.088221549987793
Caminho do mouse,"(510, 554)",7.094005107879639
Caminho do mouse,"(513, 540)",7.100909233093262
Caminho do mouse,"(514, 532)",7.1097071170806885
Caminho do mouse,"(515, 525)",7.117281913757324
Caminho do mouse,"(517, 519)",7.124207496643066
Caminho do mouse,"(520, 508)",7.145184755325317
Caminho do mouse,"(520, 502)",7.151944875717163
Caminho do mouse,"(521, 494)",7.15890645980835
Caminho do mouse,"(522, 489)",7.1649675369262695
Caminho do mouse,"(523, 486)",7.1737072467803955
Caminho do mouse,"(525, 480)",7.179081916809082
Caminho do mouse,"(526, 476)",7.188377618789673
Caminho do mouse,"(527, 474)",7.1934494972229
Caminho do mouse,"(527, 473)",7.2025885581970215
Caminho do mouse,"(527, 471)",7.208535432815552
Caminho do mouse,"(527, 470)",7.216656446456909
Caminho do mouse,"(527, 469)",7.222000598907471
Caminho do mouse,"(527, 468)",7.231312274932861
Caminho do mouse,"(527, 467)",7.251413822174072
Caminho do mouse,"(527, 466)",7.301955938339233
